WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
14,12/08,@ARI,L10-30,1,1,3,46,15.3,18,0,--,--,--,--,--,--,--,Stedman Bailey,2013
15,12/15,NO,W27-16,1,0,2,26,13.0,20,0,1,6,6.0,6,0,--,--,Stedman Bailey,2013
16,12/22,TB,W23-13,1,0,3,44,14.7,28,0,1,27,27.0,27T,1,--,--,Stedman Bailey,2013
17,12/29,@SEA,L9-27,1,1,4,33,8.3,13,0,--,--,--,--,--,--,--,Stedman Bailey,2013
1,09/13,@STL,L31-34,1,1,7,35,5.0,8,0,--,--,--,--,--,--,--,Doug Baldwin,2015
2,09/20,@GB,L17-27,1,1,7,92,13.1,32,1,--,--,--,--,--,--,--,Doug Baldwin,2015
3,09/27,CHI,W26-0,1,1,3,35,11.7,22,0,--,--,--,--,--,--,--,Doug Baldwin,2015
4,10/05,DET,W13-10,1,1,3,36,12.0,24T,1,--,--,--,--,--,--,--,Doug Baldwin,2015
5,10/11,@CIN,L24-27,1,1,3,70,23.3,46,0,--,--,--,--,--,--,--,Doug Baldwin,2015
6,10/18,CAR,L23-27,1,1,3,23,7.7,14,0,--,--,--,--,--,--,--,Doug Baldwin,2015
7,10/22,@SF,W20-3,1,1,2,19,9.5,15,0,--,--,--,--,--,--,--,Doug Baldwin,2015
8,11/01,@DAL,W13-12,1,1,3,35,11.7,15,0,--,--,--,--,--,--,--,Doug Baldwin,2015
9,Bye,,,,,,,,,,,,,,,,,Doug Baldwin,2015
10,11/15,ARI,L32-39,1,1,7,134,19.1,33,1,--,--,--,--,--,--,--,Doug Baldwin,2015
11,11/22,SF,W29-13,1,1,6,60,10.0,21,0,--,--,--,--,--,--,--,Doug Baldwin,2015
12,11/29,PIT,W39-30,1,1,6,145,24.2,80T,3,--,--,--,--,--,--,--,Doug Baldwin,2015
13,12/06,@MIN,W38-7,1,1,5,94,18.8,53T,2,--,--,--,--,--,--,--,Doug Baldwin,2015
14,12/13,@BAL,W35-6,1,1,6,82,13.7,22T,3,--,--,--,--,--,--,--,Doug Baldwin,2015
15,12/20,CLE,W30-13,1,1,4,45,11.3,27,2,--,--,--,--,--,--,--,Doug Baldwin,2015
16,12/27,STL,L17-23,1,1,8,118,14.8,28,1,--,--,--,--,--,1,0,Doug Baldwin,2015
17,01/03,@ARI,W36-6,1,1,5,46,9.2,15,0,--,--,--,--,--,--,--,Doug Baldwin,2015
1,09/04,GB,W36-16,1,1,3,14,4.7,6,0,--,--,--,--,--,--,--,Doug Baldwin,2014
2,09/14,@SD,L21-30,1,1,3,35,11.7,16,0,--,--,--,--,--,--,--,Doug Baldwin,2014
3,09/21,DEN,W26-20,1,1,4,56,14.0,16,0,--,--,--,--,--,--,--,Doug Baldwin,2014
4,Bye,,,,,,,,,,,,,,,,,Doug Baldwin,2014
5,10/06,@WAS,W27-17,1,1,4,50,12.5,20,0,--,--,--,--,--,--,--,Doug Baldwin,2014
6,10/12,DAL,L23-30,1,1,2,32,16.0,20,0,--,--,--,--,--,--,--,Doug Baldwin,2014
7,10/19,@STL,L26-28,1,1,7,123,17.6,49,1,--,--,--,--,--,--,--,Doug Baldwin,2014
8,10/26,@CAR,W13-9,1,1,6,61,10.2,18,0,--,--,--,--,--,--,--,Doug Baldwin,2014
9,11/02,OAK,W30-24,1,1,5,38,7.6,20,0,--,--,--,--,--,--,--,Doug Baldwin,2014
10,11/09,NYG,W38-17,1,1,4,31,7.8,14,0,--,--,--,--,--,--,--,Doug Baldwin,2014
11,11/16,@KC,L20-24,1,1,6,45,7.5,23,1,--,--,--,--,--,--,--,Doug Baldwin,2014
12,11/23,ARI,W19-3,1,1,2,6,3.0,3,0,--,--,--,--,--,--,--,Doug Baldwin,2014
13,11/27,@SF,W19-3,1,1,2,28,14.0,24,0,--,--,--,--,--,--,--,Doug Baldwin,2014
14,12/07,@PHI,W24-14,1,1,5,97,19.4,25,1,--,--,--,--,--,--,--,Doug Baldwin,2014
15,12/14,SF,W17-7,1,1,3,53,17.7,35,0,--,--,--,--,--,--,--,Doug Baldwin,2014
16,12/21,@ARI,W35-6,1,1,7,113,16.1,49,0,--,--,--,--,--,--,--,Doug Baldwin,2014
17,12/28,STL,W20-6,1,1,3,43,14.3,38,0,1,8,8.0,8,0,--,--,Doug Baldwin,2014
1,09/08,@CAR,W12-7,1,0,7,91,13.0,25,0,1,3,3.0,3,0,--,--,Doug Baldwin,2013
2,09/15,SF,W29-3,1,0,1,51,51.0,51,0,--,--,--,--,--,--,--,Doug Baldwin,2013
3,09/22,JAC,W45-17,1,0,1,35,35.0,35T,1,--,--,--,--,--,--,--,Doug Baldwin,2013
4,09/29,@HOU,W23-20,1,0,3,39,13.0,24,0,--,--,--,--,--,--,--,Doug Baldwin,2013
5,10/06,@IND,L28-34,1,1,5,80,16.0,27,0,--,--,--,--,--,--,--,Doug Baldwin,2013
6,10/13,TEN,W20-13,1,0,4,48,12.0,28,0,--,--,--,--,--,--,--,Doug Baldwin,2013
7,10/17,@ARI,W34-22,1,1,1,16,16.0,16,0,--,--,--,--,--,--,--,Doug Baldwin,2013
8,10/28,@STL,W14-9,1,0,1,12,12.0,12,0,--,--,--,--,--,--,--,Doug Baldwin,2013
9,11/03,TB,W27-24,1,1,6,75,12.5,28,1,--,--,--,--,--,--,--,Doug Baldwin,2013
10,11/10,@ATL,W33-10,1,1,5,76,15.2,30,0,--,--,--,--,--,--,--,Doug Baldwin,2013
11,11/17,MIN,W41-20,1,1,2,63,31.5,44,1,--,--,--,--,--,--,--,Doug Baldwin,2013
12,Bye,,,,,,,,,,,,,,,,,Doug Baldwin,2013
