"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Jordan Taylor",3000,"Ind@Den 04:25PM ET",0.000,"Den"
"RB","Marcus Murphy",3000,"NO@NYG 01:00PM ET",0.000,"NO"
"RB","Andre Williams",3000,"Jax@SD 04:25PM ET",0,"SD"
"RB","Rod Smith",3000,"Dal@Was 01:00PM ET",0.000,"Dal"
"WR","Joshua Bellamy",3000,"Phi@Chi 08:30PM ET",0.000,"Chi"
"TE","Neal Sterling",3000,"Jax@SD 04:25PM ET",0.000,"Jax"
"WR","Walt Powell",3000,"NYJ@Buf 08:25PM ET",0,"Buf"
"RB","Malcolm Johnson",3000,"Bal@Cle 01:00PM ET",2.900,"Cle"
"WR","Josh Huff",3000,"Phi@Chi 08:30PM ET",0.000,"Phi"
"WR","Brandon Coleman",3000,"NO@NYG 01:00PM ET",0.000,"NO"
"RB","Michael Burton",3000,"Ten@Det 01:00PM ET",0.000,"Det"
"RB","Corey Grant",3000,"Jax@SD 04:25PM ET",0.000,"Jax"
"WR","Keith Mumphery",3000,"KC@Hou 01:00PM ET",0,"Hou"
"WR","Justin Hardy",3000,"Atl@Oak 04:25PM ET",1.000,"Atl"
"WR","J.J. Nelson",3000,"TB@Ari 04:05PM ET",2.100,"Ari"
"WR","Cecil Shorts III",3000,"TB@Ari 04:05PM ET",0.000,"TB"
"WR","Andre Holmes",3000,"Atl@Oak 04:25PM ET",0.000,"Oak"
"RB","Keith Smith",3000,"Dal@Was 01:00PM ET",0.300,"Dal"
"WR","Paul Richardson",3000,"Sea@LA 04:05PM ET",2.100,"Sea"
"WR","Isaiah Burse",3000,"Jax@SD 04:25PM ET",0,"SD"
"WR","Cameron Meredith",3000,"Phi@Chi 08:30PM ET",0,"Chi"
"RB","Antonio Andrews",3000,"Ten@Det 01:00PM ET",0.000,"Ten"
"WR","Corey Brown",3000,"SF@Car 01:00PM ET",2.100,"Car"
"RB","Zach Zenner",3000,"Ten@Det 01:00PM ET",0,"Det"
"RB","Terron Ward",3000,"Atl@Oak 04:25PM ET",0,"Atl"
"RB","Kapri Bibbs",3000,"Ind@Den 04:25PM ET",1.600,"Den"
"WR","Josh Doctson",3000,"Dal@Was 01:00PM ET",1.900,"Was"
"WR","Quan Bray",3000,"Ind@Den 04:25PM ET",0.000,"Ind"
"WR","Braxton Miller",3000,"KC@Hou 01:00PM ET",1.600,"Hou"
"WR","Rashad Ross",3000,"Dal@Was 01:00PM ET",0,"Was"
"WR","Ty Montgomery",3000,"GB@Min 08:30PM ET",0.000,"GB"
